model,hypothesis,encoding,manual_feature_engineering,dimensionality_reduction,val_roc_auc,val_average_precision,val_f1,test_roc_auc,test_average_precision,test_f1,test_precision,test_recall,test_accuracy
hist_gradient_boosting,Boosting should perform best on tabular nonlinear risk data.,ordinal,True,False,0.7574113829076887,0.24679520524646756,0.04126984126984127,0.7817225321978436,0.2785083340405553,0.03508771929824561,0.5,0.01818181818181818,0.9193333333333333
soft_voting_ensemble,"Averaging linear, bagging and boosting probabilities can improve stability.",ordinal,True,False,0.759526322465459,0.24620956246415754,0.24893617021276596,0.7772442601238171,0.2802619253663913,0.27455121436114044,0.38011695906432746,0.21487603305785125,0.9084
logistic_regression_fe,Credit ratios and external-score aggregates improve a linear model.,onehot,True,False,0.7599647709513518,0.2518425291998869,0.2601362309438858,0.7770349816311976,0.2689115802235649,0.2730241672109732,0.17012617012617012,0.6909090909090909,0.7032
baseline_logistic_regression,Simple baseline without manual feature engineering.,onehot,False,False,0.7567297774012354,0.2453171492464869,0.259379042690815,0.7759521512174951,0.26543377139901636,0.2742671009771987,0.17079107505070995,0.6958677685950413,0.7029333333333333
extra_trees,More randomized trees can reduce variance versus RandomForest.,ordinal,True,False,0.7552299102281511,0.2365823443938707,0.2743437764606266,0.7689059625192528,0.26985770614636806,0.3059636992221262,0.20713867758923346,0.5851239669421487,0.7858666666666667
random_forest,Bagging over nonlinear trees captures interactions and is robust to outliers.,ordinal,True,False,0.7492010042193488,0.22393886967633297,0.2884848484848485,0.7676234425473003,0.25914767449847864,0.3264812575574365,0.25738798856053385,0.4462809917355372,0.8514666666666667
svd_logistic_regression,Dimensionality reduction may keep signal while reducing noisy sparse features.,onehot,True,True,0.7477336856238198,0.23728966368812923,0.24592683676606208,0.7602718462893819,0.25472763785864005,0.2665400443178221,0.16483946750195771,0.6958677685950413,0.6910666666666667
